year,word,frequency
2023,threats,4686
2023,throwing,169
2023,till,15
2023,tom,81
2023,trafficking,111
2023,train,83
2023,trespassing,4467
2023,unauthorized,95
2023,under,96
2023,under),34704
2023,use,35
2023,vandalism,17775
2023,vandalisms),13172
2023,vehicle,56693
2023,"vehicle,",1120
2023,violation,4510
2023,w.i.c.),293
2023,w/foreign,271
2023,weapon,8470
2023,"weapon,",12694
2023,weapons,13
2023,with,13850
2023,without,36
2023,worthless,29
2023,yield,424
2023,yrs,325
2024,$950,39
2024,$950.01,8
2024,($200.01,2
2024,($399,2386
2024,($400,7947
2024,($950,25511
2024,($950.01,13535
2024,(13,65
2024,(14-15,65
2024,(17yrs,61
2024,(dwoc),34
2024,(motorized,1047
2024,(physical),306
2024,(see,111
2024,(sexual,1
2024,(simple),196
2024,300,111
2024,abandonment,2
2024,abuse,306
2024,access,22
2024,acts,77
2024,aggravated,4532
2024,agnst,65
2024,aircraft,38
2024,all,7947
2024,and,5622
2024,animals,22
2024,annoying,61
2024,anus,29
2024,arrest,131
2024,arson,165
2024,assault,17191
2024,attempt,693
2024,attempted,703
2024,b/w,29
2024,battery,5890
2024,between,1
2024,bike,953
2024,"bikes,",1047
2024,blood,1
2024,boat,22
2024,bomb,66
2024,brandish,975
2024,"bunco,",585
2024,burglary,14052
2024,"burglary,",292
2024,"calls,",1258
2024,calls/letters,28
2024,"cards,",8
2024,child,553
2024,chld,65
2024,church,7947
2024,coin,5
2024,commercial,69
2024,compliance,38
2024,computer,22
2024,conduct,69
2024,consent,34
2024,"consent,",68
2024,conspiracy,2
2024,contact,307
2024,contempt,158
2024,contributing,5
2024,copulation,39
2024,counterfeit,7
2024,court,556
2024,credit,8
2024,crime,666
2024,criminal,1422
2024,crm,65
2024,cruelty,22
2024,damage,1
2024,deadly,3752
2024,defrauding,47
2024,discharge,195
2024,dishonest,4
2024,disperse,3
2024,displayed,1327
2024,disrupt,1
2024,distribute),2
2024,disturbing,100
2024,document,245
2024,driving,78
2024,"drugs,",1
2024,drunk,13
2024,dumping,2
2024,dwelling,93
2024,"embezzlement,",566
2024,employee,4
2024,etc),1047
2024,exposure,94
2024,extortion,150
2024,failure,334
2024,false,47
2024,felony,8190
2024,"firearms(sale,display,manufacture",2
2024,firearms/shots,195
2024,fired,326
2024,firefighter,16
2024,forcible,194
2024,forgery,243
2024,fraud,12
2024,frgn,68
